location_id;region_id;type_id;is_buy_order;has_gone;scanDate;amount;high;low;avg;orderNum;iskValue
60000640;10000033;30013;0;0;2025-07-29;8;16000.00;16000.00;16000.00;1;128000
60000640;10000033;31752;0;0;2025-07-29;1;50000.00;50000.00;50000.00;1;50000
60000640;10000033;35656;0;0;2025-07-29;1;35000.00;35000.00;35000.00;1;35000
60000640;10000033;42830;0;0;2025-07-29;1000;648.00;648.00;648.00;1;648000
60000655;10000002;34;0;0;2025-07-29;21151;3.84;3.84;2.60;2;81220
60000655;10000002;36;0;0;2025-07-29;124202;79.34;79.34;79.33;5;9854188
60000655;10000002;37;0;0;2025-07-29;9500;334.40;334.40;176.49;2;3176800
60000655;10000002;40;0;0;2025-07-29;2610;4382.00;4382.00;4375.29;5;11437020
60000655;10000002;1230;1;0;2025-07-29;55746;7.00;7.00;7.00;1;390222
60000664;10000033;15592;1;0;2025-07-29;6;717700.00;717700.00;717700.00;1;4306200
60000667;10000033;56136;1;0;2025-07-29;2;1.01;1.01;0.67;2;2
60000673;10000033;1317;0;0;2025-07-29;3;19200.00;19200.00;19200.00;1;57600
60000676;10000033;30745;1;0;2025-07-29;2;392700.00;392700.00;392700.00;1;785400
60000682;10000002;3304;0;0;2025-07-29;3;125000.00;125000.00;75000.00;2;375000
60000682;10000002;3387;0;0;2025-07-29;1;180000.00;180000.00;180000.00;1;180000
60000682;10000002;3440;0;0;2025-07-29;2;470000.00;470000.00;313333.33;2;940000
60000682;10000002;12305;0;0;2025-07-29;1;90000.00;90000.00;90000.00;1;90000
60000682;10000002;17940;0;0;2025-07-29;1;740000.00;740000.00;740000.00;1;740000
60000682;10000002;22808;0;0;2025-07-29;1;140000.00;140000.00;140000.00;1;140000
60000682;10000002;23561;1;0;2025-07-29;11;207100.00;207100.00;189841.67;3;2278100
60000682;10000002;24241;0;0;2025-07-29;1;70000.00;70000.00;70000.00;1;70000
60000682;10000002;32999;0;0;2025-07-29;1;240000.00;240000.00;240000.00;1;240000
60000685;10000002;587;0;0;2025-07-29;1;777100.00;777100.00;777100.00;1;777100
60000685;10000002;672;0;0;2025-07-29;9;21000.00;21000.00;17181.82;7;189000
60000685;10000002;11129;0;0;2025-07-29;3;21000.00;21000.00;15750.00;3;63000
60000685;10000002;11132;0;0;2025-07-29;3;21000.00;21000.00;15750.00;3;63000
60000685;10000002;40520;0;0;2025-07-29;5;840900000.00;840900000.00;840900000.00;1;4204500000
60000685;10000002;55831;1;0;2025-07-29;2120;232100.00;230100.00;228601.58;5;491722000
60000691;10000002;11482;0;0;2025-07-29;1;930.00;930.00;930.00;1;930
60000691;10000002;22542;0;0;2025-07-29;4;52330.00;52330.00;34886.67;2;209320
60000691;10000002;28576;0;0;2025-07-29;1;898000.00;898000.00;898000.00;1;898000
60000703;10000033;5971;0;0;2025-07-29;1;3500000.00;3500000.00;3500000.00;1;3500000
60000715;10000016;35;0;0;2025-07-29;62000;32.00;32.00;32.00;1;1984000
60000730;10000016;34;0;0;2025-07-29;32400;4.01;4.01;4.01;1;129924
60000736;10000016;1224;1;0;2025-07-29;80;21.00;21.00;21.00;1;1680
60000736;10000016;17455;1;0;2025-07-29;893264;40.05;40.05;40.04;2;35775223
60000736;10000016;17463;1;0;2025-07-29;70132;16.70;16.70;16.70;1;1171204
60000739;10000016;11134;0;0;2025-07-29;2;18000.00;18000.00;18000.00;1;36000
60000739;10000016;16272;1;0;2025-07-29;10237;150.00;150.00;150.00;1;1535550
60000754;10000016;1227;0;0;2025-07-29;10000;990.00;990.00;990.00;1;9900000
60000754;10000016;21841;1;0;2025-07-29;4;2000.00;2000.00;2000.00;1;8000
60000754;10000016;37545;1;0;2025-07-29;1;3000.00;3000.00;3000.00;1;3000
60000763;10000016;37;0;0;2025-07-29;9900;412.00;412.00;412.00;1;4078800
60000763;10000016;222;0;0;2025-07-29;60;8.02;8.02;8.02;1;481
60000763;10000016;6003;0;0;2025-07-29;4;94950.00;94950.00;75960.00;3;379800
60000772;10000016;246;1;0;2025-07-29;1;100.00;100.00;100.00;1;100
60000772;10000016;16265;1;0;2025-07-29;100;232100.00;232000.00;146862.03;3;23204200
60000772;10000016;33474;0;0;2025-07-29;1;2450000.00;2450000.00;2450000.00;1;2450000
60000790;10000002;17366;0;0;2025-07-29;8;49990.00;49990.00;33326.67;3;399920
60000805;10000016;16273;0;0;2025-07-29;500;111.00;111.00;111.00;1;55500
60000808;10000016;35;0;0;2025-07-29;66275;27.90;27.90;26.21;2;1849072
60000808;10000016;22175;0;0;2025-07-29;1;100000.00;100000.00;100000.00;1;100000
60000811;10000016;1227;0;0;2025-07-29;10000;990.00;990.00;990.00;1;9900000
60000811;10000016;1230;0;0;2025-07-29;2000;18.00;18.00;12.00;2;36000
60000811;10000016;1230;1;0;2025-07-29;51890;9.50;9.50;9.50;1;492955
60000814;10000016;5973;1;0;2025-07-29;3;2002.00;2002.00;1201.20;2;6006
60000814;10000016;9944;0;0;2025-07-29;2;118000.00;118000.00;118000.00;1;236000
60000820;10000016;34;0;0;2025-07-29;2;3.40;3.40;3.40;1;7
60000820;10000016;2456;0;0;2025-07-29;2;700000.00;700000.00;700000.00;1;1400000
60000820;10000016;5955;0;0;2025-07-29;1;250000.00;250000.00;250000.00;1;250000
60000820;10000016;12052;0;0;2025-07-29;1;312000.00;312000.00;312000.00;1;312000
60000832;10000033;47466;0;0;2025-07-29;1;220000000.00;220000000.00;220000000.00;1;220000000
60000844;10000016;482;0;0;2025-07-29;1;1100000.00;1100000.00;1100000.00;1;1100000
60000856;10000033;226;1;0;2025-07-29;100;1.07;1.07;1.07;1;107
60000856;10000033;594;1;0;2025-07-29;1;2.00;2.00;2.00;1;2
60000880;10000033;40;0;0;2025-07-29;30;5100.00;5100.00;5100.00;1;153000
